speaker,window_start,window_end,P21_AMP,P100_OVERALL,P32_IMO,P31_ICM,P30_INTER,P23_ATM,P11_TMA,P10_TRANS,P33_IAM,P24_ACO,P22_ASM,P13_TSF,P12_TGS,P20_ACT
SPEAKER_00,225.0,255.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
SPEAKER_00,240.0,270.0,0,1,0,0,3,0,0,1,0,0,0,0,0,0
SPEAKER_00,255.0,285.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
SPEAKER_00,270.0,300.0,0,2,0,0,1,0,0,2,0,0,0,0,0,0
SPEAKER_00,285.0,315.0,0,2,0,0,1,0,0,2,0,0,0,0,0,0
SPEAKER_00,330.0,360.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
SPEAKER_00,345.0,375.0,0,1,0,0,0,0,0,1,0,0,0,0,0,3
SPEAKER_00,360.0,390.0,0,2,0,0,0,0,0,1,0,0,0,1,0,4
SPEAKER_00,375.0,405.0,0,1,0,0,0,0,0,1,0,0,0,1,0,2
SPEAKER_00,495.0,525.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
SPEAKER_00,510.0,540.0,1,2,0,0,5,0,0,1,0,0,1,0,0,1
SPEAKER_00,525.0,555.0,1,2,0,0,6,0,0,0,0,0,1,0,0,1
SPEAKER_00,540.0,570.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
SPEAKER_00,585.0,615.0,0,0,0,0,2,0,0,2,0,0,0,0,0,0
SPEAKER_00,600.0,630.0,0,0,0,0,4,0,0,3,0,0,1,0,0,0
SPEAKER_00,615.0,645.0,0,0,0,0,2,0,0,1,0,0,1,0,0,0
SPEAKER_00,675.0,705.0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
SPEAKER_00,690.0,720.0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
SPEAKER_00,900.0,930.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
SPEAKER_00,915.0,945.0,2,2,0,0,2,0,0,3,0,0,0,1,1,3
SPEAKER_00,930.0,960.0,2,2,0,0,3,0,0,2,0,0,0,0,1,3
SPEAKER_00,945.0,975.0,0,1,0,0,3,0,0,1,0,0,0,1,0,1
SPEAKER_00,960.0,990.0,0,3,0,0,4,0,0,2,0,1,0,1,0,4
SPEAKER_00,975.0,1005.0,0,2,0,0,3,0,0,1,0,1,0,0,0,5
SPEAKER_00,990.0,1020.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
SPEAKER_00,1005.0,1035.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
SPEAKER_00,1020.0,1050.0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
SPEAKER_00,1035.0,1065.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
SPEAKER_00,1110.0,1140.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
SPEAKER_00,1125.0,1155.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
SPEAKER_00,1170.0,1200.0,0,1,0,0,0,0,0,2,0,0,0,0,0,0
SPEAKER_00,1185.0,1215.0,0,1,0,0,0,0,0,2,0,0,0,0,0,0
SPEAKER_00,1200.0,1230.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SPEAKER_00,1215.0,1245.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SPEAKER_00,1230.0,1260.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SPEAKER_00,1245.0,1275.0,1,1,0,0,2,0,0,0,0,0,0,0,0,0
SPEAKER_00,1260.0,1290.0,1,1,0,0,4,0,0,0,0,0,0,0,0,1
SPEAKER_00,1275.0,1305.0,0,0,0,0,3,0,0,0,0,0,0,0,0,2
