speaker,window_start,window_end,P21_AMP,P100_OVERALL,P32_IMO,P31_ICM,P30_INTER,P23_ATM,P11_TMA,P10_TRANS,P33_IAM,P24_ACO,P22_ASM,P13_TSF,P12_TGS,P20_ACT
SPEAKER_00,0.0,30.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
SPEAKER_00,15.0,45.0,0,1,0,0,0,0,0,1,0,0,0,1,0,1
SPEAKER_00,30.0,60.0,0,1,0,0,2,0,0,2,0,0,0,1,0,1
SPEAKER_00,45.0,75.0,0,2,0,0,2,0,0,3,0,0,0,2,0,4
SPEAKER_00,60.0,90.0,0,2,0,0,1,0,0,2,0,0,1,1,0,8
SPEAKER_00,75.0,105.0,0,2,0,0,3,0,0,3,0,0,1,1,0,7
SPEAKER_00,90.0,120.0,0,4,0,0,4,0,0,6,0,1,1,4,0,5
SPEAKER_00,105.0,135.0,0,3,0,0,2,0,0,5,0,1,6,3,0,5
SPEAKER_00,120.0,150.0,0,1,0,0,3,0,1,8,0,0,5,1,0,5
SPEAKER_00,135.0,165.0,0,1,0,0,4,0,1,6,0,0,0,1,0,3
SPEAKER_00,150.0,180.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SPEAKER_00,570.0,600.0,1,2,0,0,1,0,0,2,0,0,0,1,0,2
SPEAKER_00,585.0,615.0,1,2,0,0,6,0,0,2,0,0,1,2,0,5
SPEAKER_00,600.0,630.0,0,0,0,0,5,0,0,0,0,0,1,2,0,5
SPEAKER_00,615.0,645.0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
SPEAKER_00,720.0,750.0,0,1,0,0,2,0,0,1,0,0,0,0,0,0
SPEAKER_00,735.0,765.0,0,1,0,0,2,0,0,1,0,0,0,0,0,0
SPEAKER_00,1545.0,1575.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
SPEAKER_00,1560.0,1590.0,0,1,0,0,2,0,0,2,0,0,1,3,0,0
SPEAKER_00,1575.0,1605.0,0,1,0,0,2,0,0,1,0,0,1,2,0,0
SPEAKER_00,1590.0,1620.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
SPEAKER_00,1605.0,1635.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
SPEAKER_00,1620.0,1650.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
SPEAKER_00,1635.0,1665.0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
SPEAKER_00,1650.0,1680.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SPEAKER_00,3765.0,3795.0,1,0,0,0,2,0,0,0,0,0,0,1,0,2
SPEAKER_00,3780.0,3810.0,1,0,0,0,3,0,0,0,0,0,0,1,0,2
SPEAKER_00,3795.0,3825.0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
SPEAKER_00,3810.0,3840.0,0,2,0,0,5,0,0,2,0,0,1,0,0,3
SPEAKER_00,3825.0,3855.0,0,2,0,0,6,0,0,2,0,0,1,0,0,3
SPEAKER_00,3840.0,3870.0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
