speaker,window_start,window_end,P21_AMP,P100_OVERALL,P32_IMO,P31_ICM,P30_INTER,P23_ATM,P11_TMA,P10_TRANS,P33_IAM,P24_ACO,P22_ASM,P13_TSF,P12_TGS,P20_ACT
SPEAKER_06,915.0,945.0,0,3,0,0,3,0,0,1,0,0,0,2,0,0
SPEAKER_06,930.0,960.0,0,2,0,0,1,0,0,0,0,0,0,1,0,0
SPEAKER_06,945.0,975.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SPEAKER_06,1035.0,1065.0,0,0,0,0,1,0,0,0,0,0,0,0,0,4
SPEAKER_06,1050.0,1080.0,0,0,0,0,1,0,0,0,0,0,0,0,0,4
SPEAKER_06,1125.0,1155.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SPEAKER_06,1140.0,1170.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SPEAKER_06,1155.0,1185.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SPEAKER_06,1170.0,1200.0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
SPEAKER_06,1185.0,1215.0,0,2,0,0,1,0,0,1,0,0,0,0,0,0
SPEAKER_06,1200.0,1230.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
SPEAKER_06,1215.0,1245.0,0,0,0,0,4,0,0,2,0,0,0,0,0,1
SPEAKER_06,1230.0,1260.0,0,0,0,0,5,0,0,2,0,0,0,1,0,0
SPEAKER_06,1245.0,1275.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
SPEAKER_06,1275.0,1305.0,0,1,0,0,4,0,0,0,0,0,0,0,0,0
SPEAKER_06,1290.0,1320.0,0,1,0,0,4,0,0,0,0,0,0,1,0,0
SPEAKER_06,1305.0,1335.0,0,2,0,0,0,0,0,2,0,0,0,1,0,1
SPEAKER_06,1320.0,1350.0,0,3,0,0,4,0,0,3,0,0,0,0,0,2
SPEAKER_06,1335.0,1365.0,0,1,0,0,4,0,0,1,0,0,0,0,0,1
SPEAKER_06,1395.0,1425.0,0,0,0,0,1,0,0,1,1,0,0,1,0,0
SPEAKER_06,1410.0,1440.0,0,2,0,0,3,0,0,1,1,0,0,1,1,1
SPEAKER_06,1425.0,1455.0,0,2,0,0,2,0,0,0,0,0,0,0,1,1
SPEAKER_06,1545.0,1575.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SPEAKER_06,1560.0,1590.0,0,0,0,0,3,0,0,0,0,0,0,1,0,1
SPEAKER_06,1575.0,1605.0,0,0,0,0,2,0,0,0,0,0,0,1,0,1
SPEAKER_06,1590.0,1620.0,0,3,0,0,1,0,0,1,1,0,0,0,1,0
SPEAKER_06,1605.0,1635.0,0,3,0,0,1,0,0,1,1,0,0,0,1,0
SPEAKER_06,1620.0,1650.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
SPEAKER_06,1635.0,1665.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
SPEAKER_06,1665.0,1695.0,0,1,0,0,1,0,0,0,0,0,0,0,0,2
SPEAKER_06,1680.0,1710.0,0,4,0,0,4,0,0,0,0,0,0,0,1,2
SPEAKER_06,1695.0,1725.0,0,5,0,0,4,0,0,1,0,0,0,0,1,3
SPEAKER_06,1710.0,1740.0,0,2,0,0,1,0,0,5,1,0,0,1,1,3
SPEAKER_06,1725.0,1755.0,0,1,0,0,0,0,0,4,1,0,0,1,1,1
SPEAKER_06,1740.0,1770.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SPEAKER_06,1770.0,1800.0,0,0,0,0,2,0,0,0,0,0,1,1,1,0
SPEAKER_06,1785.0,1815.0,0,1,0,0,3,0,0,2,0,0,1,1,3,2
SPEAKER_06,1800.0,1830.0,0,3,0,0,1,0,0,7,1,0,0,1,3,2
SPEAKER_06,1815.0,1845.0,0,4,0,0,1,0,0,6,1,0,0,1,1,2
SPEAKER_06,1830.0,1860.0,0,2,0,0,2,0,0,1,0,0,0,0,0,1
SPEAKER_06,1845.0,1875.0,0,3,0,0,2,0,0,0,0,0,0,0,1,0
SPEAKER_06,1860.0,1890.0,0,5,0,0,3,0,0,1,0,0,0,0,3,0
SPEAKER_06,1875.0,1905.0,0,5,0,0,3,0,0,2,0,0,0,1,3,1
SPEAKER_06,1890.0,1920.0,0,3,0,0,1,0,0,1,0,0,0,1,0,1
SPEAKER_06,1935.0,1965.0,0,0,0,0,2,0,0,1,1,0,0,1,1,0
SPEAKER_06,1950.0,1980.0,0,5,0,0,2,0,0,2,1,0,0,2,1,2
SPEAKER_06,1965.0,1995.0,0,9,0,0,1,0,0,2,0,0,0,2,0,3
SPEAKER_06,1980.0,2010.0,0,4,0,0,1,0,0,1,0,0,0,1,0,1
SPEAKER_06,1995.0,2025.0,0,1,0,0,2,0,0,1,0,0,0,0,0,0
SPEAKER_06,2010.0,2040.0,0,5,0,0,2,0,0,2,0,0,0,0,0,2
SPEAKER_06,2025.0,2055.0,0,8,0,0,3,0,0,2,0,0,0,1,0,4
SPEAKER_06,2040.0,2070.0,0,7,0,0,3,0,0,2,0,0,0,2,0,2
SPEAKER_06,2055.0,2085.0,0,4,0,0,1,0,0,1,1,0,0,1,0,0
SPEAKER_06,2070.0,2100.0,0,2,0,0,3,0,0,0,1,0,0,0,0,0
SPEAKER_06,2085.0,2115.0,0,6,0,0,3,0,0,1,0,0,0,0,0,0
SPEAKER_06,2100.0,2130.0,0,6,0,0,1,0,0,3,0,0,0,0,0,1
SPEAKER_06,2115.0,2145.0,0,1,0,0,0,0,0,2,0,0,0,0,0,1
SPEAKER_06,2130.0,2160.0,0,2,0,0,2,0,0,1,0,0,0,1,0,1
SPEAKER_06,2145.0,2175.0,0,3,0,0,2,0,0,1,0,0,0,1,0,1
SPEAKER_06,2160.0,2190.0,0,2,0,0,3,0,0,1,0,0,0,0,0,1
SPEAKER_06,2175.0,2205.0,0,2,0,0,6,0,0,2,0,0,0,0,0,1
SPEAKER_06,2190.0,2220.0,0,4,0,0,3,0,0,2,0,0,1,0,0,1
SPEAKER_06,2205.0,2235.0,0,5,0,0,0,0,0,1,0,0,1,0,0,1
SPEAKER_06,2220.0,2250.0,0,6,0,0,0,0,0,2,0,0,0,0,0,3
SPEAKER_06,2235.0,2265.0,0,6,0,0,1,0,0,1,0,0,0,0,0,5
SPEAKER_06,2250.0,2280.0,0,2,0,0,1,0,0,0,0,0,0,0,0,2
SPEAKER_06,2265.0,2295.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SPEAKER_06,2280.0,2310.0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
SPEAKER_06,2295.0,2325.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SPEAKER_06,2310.0,2340.0,0,0,0,0,1,0,0,1,0,0,0,1,0,1
SPEAKER_06,2325.0,2355.0,0,0,0,0,1,0,0,1,0,0,0,1,1,3
SPEAKER_06,2340.0,2370.0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
SPEAKER_06,2400.0,2430.0,0,3,0,0,1,0,0,1,0,0,0,0,0,1
SPEAKER_06,2415.0,2445.0,0,3,0,0,1,0,0,1,0,0,0,0,0,1
SPEAKER_06,2430.0,2460.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SPEAKER_06,2445.0,2475.0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
SPEAKER_06,2460.0,2490.0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
SPEAKER_06,2475.0,2505.0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
SPEAKER_06,2490.0,2520.0,0,1,0,0,1,0,0,1,1,0,0,0,0,0
SPEAKER_06,2505.0,2535.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
SPEAKER_06,2520.0,2550.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SPEAKER_06,2565.0,2595.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SPEAKER_06,2580.0,2610.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SPEAKER_06,2595.0,2625.0,0,2,0,0,1,0,0,2,0,0,0,0,0,0
SPEAKER_06,2610.0,2640.0,0,3,0,0,1,0,0,2,0,0,0,0,0,0
SPEAKER_06,2625.0,2655.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
SPEAKER_06,2655.0,2685.0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
SPEAKER_06,2670.0,2700.0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
SPEAKER_06,2700.0,2730.0,0,3,0,0,0,0,0,1,0,0,0,0,0,0
SPEAKER_06,2715.0,2745.0,0,3,0,0,1,0,0,2,0,0,0,0,0,1
SPEAKER_06,2730.0,2760.0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
SPEAKER_06,2790.0,2820.0,0,2,0,0,0,1,0,1,0,0,0,0,0,0
SPEAKER_06,2805.0,2835.0,0,2,0,0,0,1,0,1,0,0,0,0,0,0
SPEAKER_06,2955.0,2985.0,0,3,0,0,0,0,0,0,0,0,0,0,0,2
SPEAKER_06,2970.0,3000.0,0,3,0,0,0,0,0,1,0,0,0,0,0,2
SPEAKER_06,2985.0,3015.0,0,3,0,0,4,0,0,5,0,0,0,1,1,0
SPEAKER_06,3000.0,3030.0,0,3,0,0,4,0,0,4,0,0,0,1,1,0
SPEAKER_06,3015.0,3045.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
SPEAKER_06,3030.0,3060.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
