speaker,window_start,window_end,P10_TRANS,P20_ACT,P21_AMP,P12_TGS,P22_ASM,P100_OVERALL,P33_IAM,P23_ATM,P31_ICM,P11_TMA,P30_INTER,P13_TSF,P32_IMO,P24_ACO
Chris,0.0,30.0,2,1,0,0,0,3,0,0,0,0,1,0,0,0
Chris,15.0,45.0,2,1,0,0,0,3,0,0,0,0,2,0,0,0
Chris,30.0,60.0,0,0,0,0,0,2,0,0,0,0,2,0,0,0
Chris,45.0,75.0,0,0,0,0,0,2,0,0,0,0,1,0,0,0
Chris,60.0,90.0,0,1,0,0,0,2,0,0,0,0,2,0,0,0
Chris,75.0,105.0,0,2,0,0,0,3,0,0,0,0,1,0,0,0
Chris,90.0,120.0,0,2,0,0,0,2,0,0,0,0,1,0,0,0
Chris,105.0,135.0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
Chris,120.0,150.0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Chris,135.0,165.0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Chris,150.0,180.0,0,0,0,0,0,3,0,0,0,0,1,0,0,0
Chris,165.0,195.0,2,4,0,0,1,5,0,0,0,0,1,1,0,0
Chris,180.0,210.0,2,10,0,0,1,3,0,0,0,0,3,2,0,0
Chris,195.0,225.0,3,9,0,0,1,4,0,0,0,0,5,4,0,0
Chris,210.0,240.0,6,4,0,0,6,4,0,0,0,0,3,3,0,1
Chris,225.0,255.0,9,7,0,0,6,4,0,0,0,1,1,3,0,1
Chris,240.0,270.0,7,5,0,0,2,3,0,0,0,1,1,1,0,0
Chris,255.0,285.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Chris,825.0,855.0,0,1,0,0,0,0,0,0,0,0,0,2,0,0
Chris,840.0,870.0,0,1,0,0,0,0,0,0,0,0,0,2,0,0
Chris,2580.0,2610.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris,2595.0,2625.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris,3810.0,3840.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Chris,3825.0,3855.0,0,1,0,0,0,2,0,0,0,0,1,0,0,0
Chris,3840.0,3870.0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
Chris,3855.0,3885.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Chris,3870.0,3900.0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
Chris,3885.0,3915.0,1,0,0,0,1,1,0,0,0,0,5,0,0,0
Chris,3900.0,3930.0,2,0,1,0,1,4,0,1,0,0,4,0,0,0
Chris,3915.0,3945.0,2,0,2,0,0,4,0,1,0,0,2,0,0,0
Chris,3930.0,3960.0,1,0,1,0,0,2,0,0,0,0,2,0,0,0
Chris,3945.0,3975.0,1,0,0,0,0,2,0,0,0,0,1,0,0,0
